20 flow networks in flowNetworks2.txt.

** G1: |V|=100, V={0..99}
(u, v, weight) E = { 
      ( 0,  2,  77)
      ( 0,  3,  79)
      ( 0,  6,   5)
      ( 0, 13,  28)
      ( 0, 17,  62)
      ( 0, 29,  59)
      ( 0, 47,  24)
      ( 0, 75,  68)
      ( 0, 86,  43)
      ( 0, 90,  21)
      ( 0, 91,  73)
      ( 1,  2,  74)
      ( 1,  8,  88)
      ( 1, 18,  52)
      ( 1, 26,  28)
      ( 1, 67,  54)
      ( 1, 71,  57)
      ( 1, 83,  89)
      ( 1, 89,  33)
      ( 1, 91,  28)
      ( 2,  3,  95)
      ( 2,  9,  19)
      ( 2, 14,  60)
      ( 2, 15,  98)
      ( 2, 16,  71)
      ( 2, 17,  49)
      ( 2, 31,  74)
      ( 2, 32,  95)
      ( 2, 37,  21)
      ( 2, 47,  21)
      ( 2, 52,  83)
      ( 2, 60,  55)
      ( 2, 64,   0)
      ( 2, 84,  11)
      ( 3,  1,  25)
      ( 3, 12,  64)
      ( 3, 19,  17)
      ( 3, 23,  98)
      ( 3, 25,  12)
      ( 3, 26,  29)
      ( 3, 32,  89)
      ( 3, 37,  84)
      ( 3, 49,  41)
      ( 3, 56,  72)
      ( 3, 59,  98)
      ( 3, 70,  23)
      ( 4,  6,  60)
      ( 4,  7,  29)
      ( 4, 16,  62)
      ( 4, 21,  99)
      ( 4, 26,  13)
      ( 4, 42,  14)
      ( 4, 49,  80)
      ( 4, 70,  99)
      ( 4, 78,  50)
      ( 4, 87,  99)
      ( 4, 96,   3)
      ( 5,  2,  44)
      ( 5,  7,  49)
      ( 5, 26,  53)
      ( 5, 28,  66)
      ( 5, 30,  46)
      ( 5, 43,  56)
      ( 5, 75,  52)
      ( 5, 84,  30)
      ( 5, 91,  84)
      ( 6,  3,  12)
      ( 6, 13,  13)
      ( 6, 29,  93)
      ( 6, 39,  90)
      ( 6, 53,  84)
      ( 6, 56,  32)
      ( 6, 59,  98)
      ( 6, 62,  97)
      ( 6, 64,  10)
      ( 6, 65,   9)
      ( 6, 67,  22)
      ( 6, 69,  83)
      ( 7, 10,  65)
      ( 7, 13,  88)
      ( 7, 73,  84)
      ( 7, 77,  88)
      ( 7, 93,  71)
      ( 7, 95,  10)
      ( 8,  6,  79)
      ( 8, 16,  96)
      ( 8, 37,  10)
      ( 8, 40,  12)
      ( 8, 44,  98)
      ( 8, 66,   9)
      ( 8, 72,  27)
      ( 8, 77,  19)
      ( 8, 80,  87)
      ( 8, 82,  61)
      ( 8, 87,  17)
      ( 8, 95,  73)
      ( 9, 27,  48)
      ( 9, 32,  68)
      ( 9, 42,  50)
      ( 9, 48,  26)
      ( 9, 51,  28)
      ( 9, 58,  90)
      ( 9, 64,  61)
      ( 9, 90,  59)
      ( 9, 91,  80)
      (10,  5,  14)
      (10, 14,  81)
      (10, 19,  96)
      (10, 33,   6)
      (10, 42,  46)
      (10, 44,  53)
      (10, 49,  52)
      (10, 62,  93)
      (10, 65,  83)
      (10, 80,  29)
      (10, 90,  51)
      (10, 95,  88)
      (10, 98,  18)
      (11,  4,  34)
      (11, 10,  89)
      (11, 32,  94)
      (11, 37,  27)
      (11, 40,  56)
      (11, 46,   9)
      (11, 58,   0)
      (11, 65,  43)
      (11, 75,  16)
      (12, 17,  76)
      (12, 21,  59)
      (12, 25,  73)
      (12, 29,  76)
      (12, 32,  67)
      (12, 48,  47)
      (12, 49,  32)
      (12, 53,   7)
      (12, 57,  69)
      (12, 68,  16)
